Time, Value0, Value 1, X, Y,
1460433884.7520, 54.8153, 6.9456, 0.4097, -0.9122, 
1460433884.7700, 54.7372, 6.7773, 0.4260, -0.9047, 
1460433884.7890, 54.6368, 6.6075, 0.4431, -0.8964, 
1460433884.8090, 54.5113, 6.4373, 0.4610, -0.8874, 
1460433884.8280, 54.3731, 6.2837, 0.4778, -0.8785, 
1460433884.8470, 54.2162, 6.1380, 0.4944, -0.8693, 
1460433884.8680, 54.0207, 5.9861, 0.5125, -0.8587, 
1460433884.8870, 53.8236, 5.8568, 0.5287, -0.8488, 
1460433884.9080, 53.5832, 5.7229, 0.5464, -0.8375, 
1460433884.9270, 53.3448, 5.6097, 0.5623, -0.8270, 
1460433884.9460, 53.0865, 5.5042, 0.5779, -0.8161, 
1460433884.9650, 52.8079, 5.4063, 0.5933, -0.8050, 
1460433884.9840, 52.5089, 5.3158, 0.6084, -0.7936, 
1460433885.0030, 52.1892, 5.2327, 0.6234, -0.7819, 
1460433885.0220, 51.8487, 5.1570, 0.6382, -0.7699, 
1460433885.0420, 51.4676, 5.0852, 0.6534, -0.7570, 
1460433885.0620, 51.0634, 5.0214, 0.6684, -0.7438, 
1460433885.0810, 50.6578, 4.9681, 0.6824, -0.7309, 
1460433885.1010, 50.2084, 4.9197, 0.6969, -0.7171, 
1460433885.1200, 49.7602, 4.8808, 0.7104, -0.7038, 
1460433885.1390, 49.2915, 4.8489, 0.7237, -0.6901, 
1460433885.1590, 48.7765, 4.8226, 0.7373, -0.6755, 
1460433885.1780, 48.2671, 4.8047, 0.7500, -0.6614, 
1460433885.1970, 47.7385, 4.7934, 0.7625, -0.6470, 
1460433885.2160, 47.1914, 4.7887, 0.7746, -0.6324, 
1460433885.2350, 46.6264, 4.7905, 0.7865, -0.6176, 
1460433885.2540, 46.0443, 4.7987, 0.7981, -0.6025, 
1460433885.2730, 45.4460, 4.8133, 0.8094, -0.5873, 
1460433885.2930, 44.7996, 4.8353, 0.8210, -0.5710, 
1460433885.3120, 44.1709, 4.8627, 0.8317, -0.5553, 
1460433885.3310, 43.5289, 4.8960, 0.8421, -0.5394, 
1460433885.3500, 42.8748, 4.9354, 0.8522, -0.5233, 
1460433885.3700, 42.1745, 4.9831, 0.8625, -0.5061, 
1460433885.3890, 41.4992, 5.0345, 0.8719, -0.4897, 
1460433885.4080, 40.8155, 5.0915, 0.8811, -0.4730, 
1460433885.4280, 40.0880, 5.1575, 0.8903, -0.4553, 
1460433885.4470, 39.3909, 5.2259, 0.8988, -0.4383, 
1460433885.4670, 38.6522, 5.3036, 0.9074, -0.4202, 
1460433885.4860, 37.9470, 5.3829, 0.9152, -0.4029, 
1460433885.5050, 37.2399, 5.4674, 0.9227, -0.3854, 
1460433885.5250, 36.4948, 5.5618, 0.9303, -0.3669, 
1460433885.5440, 35.7874, 5.6565, 0.9371, -0.3492, 
1460433885.5630, 35.0817, 5.7560, 0.9435, -0.3313, 
1460433885.5830, 34.3419, 5.8659, 0.9500, -0.3124, 
1460433885.6030, 33.6065, 5.9810, 0.9560, -0.2933, 
1460433885.6220, 32.9130, 6.0948, 0.9614, -0.2751, 
1460433885.6410, 32.2255, 6.2130, 0.9665, -0.2568, 
1460433885.6610, 31.5092, 6.3420, 0.9714, -0.2374, 
1460433885.6800, 30.8369, 6.4688, 0.9757, -0.2189, 
1460433885.7000, 30.1384, 6.6066, 0.9799, -0.1993, 
1460433885.7190, 29.4845, 6.7414, 0.9835, -0.1807, 
1460433885.7410, 28.7401, 6.9022, 0.9873, -0.1590, 
1460433885.7620, 28.0432, 7.0601, 0.9904, -0.1382, 
1460433885.7830, 27.3604, 7.2222, 0.9931, -0.1174, 
1460433885.8030, 26.7239, 7.3803, 0.9952, -0.0975, 
1460433885.8220, 26.1324, 7.5337, 0.9969, -0.0786, 
1460433885.8410, 25.5542, 7.6901, 0.9982, -0.0597, 
1460433885.8600, 24.9897, 7.8494, 0.9992, -0.0407, 
1460433885.8790, 24.4396, 8.0113, 0.9998, -0.0217, 
1460433885.8980, 23.9041, 8.1758, 1.0000, -0.0027, 
1460433885.9180, 23.3569, 8.3516, 0.9999, 0.0173, 
1460433885.9370, 22.8532, 8.5209, 0.9993, 0.0363, 
1460433885.9560, 22.3657, 8.6923, 0.9985, 0.0553, 
1460433885.9750, 21.8950, 8.8657, 0.9972, 0.0742, 
1460433885.9940, 21.4414, 9.0408, 0.9956, 0.0932, 
1460433886.0140, 20.9832, 9.2270, 0.9936, 0.1131, 
1460433886.0330, 20.5667, 9.4055, 0.9913, 0.1319, 
1460433886.0520, 20.1691, 9.5853, 0.9886, 0.1507, 
1460433886.0720, 19.7716, 9.7758, 0.9854, 0.1705, 
1460433886.0910, 19.4148, 9.9580, 0.9819, 0.1892, 
1460433886.1110, 19.0616, 10.1507, 0.9780, 0.2088, 
1460433886.1300, 18.7481, 10.3346, 0.9738, 0.2273, 
1460433886.1490, 18.4567, 10.5191, 0.9693, 0.2458, 
1460433886.1690, 18.1745, 10.7139, 0.9642, 0.2651, 
1460433886.1880, 17.9304, 10.8994, 0.9590, 0.2834, 
1460433886.2070, 17.7103, 11.0852, 0.9535, 0.3015, 
1460433886.2270, 17.5051, 11.2809, 0.9472, 0.3205, 
1460433886.2460, 17.3359, 11.4668, 0.9410, 0.3385, 
1460433886.2650, 17.1921, 11.6527, 0.9344, 0.3563, 
1460433886.2850, 17.0685, 11.8483, 0.9271, 0.3749, 
1460433886.3040, 16.9778, 12.0339, 0.9198, 0.3925, 
1460433886.3230, 16.9131, 12.2192, 0.9121, 0.4099, 
1460433886.3430, 16.8730, 12.4140, 0.9038, 0.4280, 
1460433886.3620, 16.8613, 12.5986, 0.8955, 0.4451, 
1460433886.3810, 16.8746, 12.7828, 0.8869, 0.4621, 
1460433886.4010, 16.9150, 12.9763, 0.8774, 0.4797, 
1460433886.4200, 16.9774, 13.1598, 0.8682, 0.4963, 
1460433886.4400, 17.0669, 13.3525, 0.8581, 0.5135, 
1460433886.4580, 17.1669, 13.5256, 0.8487, 0.5289, 
1460433886.4770, 17.2907, 13.7081, 0.8385, 0.5449, 
1460433886.4960, 17.4310, 13.8904, 0.8280, 0.5608, 
1460433886.5160, 17.5939, 14.0823, 0.8166, 0.5772, 
1460433886.5350, 17.7599, 14.2645, 0.8055, 0.5926, 
1460433886.5540, 17.9338, 14.4470, 0.7941, 0.6078, 
1460433886.5740, 18.1214, 14.6394, 0.7818, 0.6236, 
1460433886.5930, 18.3001, 14.8228, 0.7698, 0.6383, 
1460433886.6130, 18.4838, 15.0166, 0.7569, 0.6536, 
1460433886.6330, 18.6581, 15.2116, 0.7436, 0.6686, 
1460433886.6530, 18.8176, 15.4079, 0.7301, 0.6833, 
1460433886.6720, 18.9502, 15.5961, 0.7170, 0.6971, 
1460433886.6920, 19.0643, 15.7962, 0.7029, 0.7113, 
1460433886.7120, 19.1466, 15.9987, 0.6885, 0.7252, 
1460433886.7330, 19.1923, 16.2145, 0.6732, 0.7395, 
1460433886.7530, 19.1911, 16.4235, 0.6582, 0.7528, 
1460433886.7720, 19.1443, 16.6255, 0.6438, 0.7652, 
1460433886.7910, 19.0487, 16.8314, 0.6292, 0.7773, 
1460433886.8110, 18.8907, 17.0528, 0.6135, 0.7897, 
1460433886.8300, 18.6822, 17.2680, 0.5984, 0.8012, 
1460433886.8490, 18.4138, 17.4884, 0.5831, 0.8124, 
1460433886.8680, 18.0829, 17.7147, 0.5675, 0.8234, 
1460433886.8860, 17.7102, 17.9347, 0.5526, 0.8334, 
1460433886.9060, 17.2273, 18.1864, 0.5358, 0.8443, 
1460433886.9250, 16.7012, 18.4329, 0.5197, 0.8544, 
1460433886.9440, 16.1103, 18.6872, 0.5034, 0.8641, 
1460433886.9630, 15.4559, 18.9499, 0.4869, 0.8735, 
1460433886.9820, 14.7406, 19.2214, 0.4702, 0.8826, 
1460433887.0000, 14.0099, 19.4872, 0.4542, 0.8909, 
1460433887.0190, 13.1866, 19.7775, 0.4372, 0.8994, 
1460433887.0390, 12.2678, 20.0943, 0.4191, 0.9079, 
1460433887.0580, 11.3518, 20.4064, 0.4018, 0.9157, 
1460433887.0770, 10.4005, 20.7299, 0.3843, 0.9232, 
1460433887.0970, 9.3693, 21.0832, 0.3658, 0.9307, 
1460433887.1170, 8.3168, 21.4502, 0.3471, 0.9378, 
1460433887.1380, 7.1997, 21.8506, 0.3273, 0.9449, 
1460433887.1580, 6.1353, 22.2470, 0.3084, 0.9513, 
1460433887.1780, 5.0811, 22.6583, 0.2893, 0.9572, 
1460433887.1980, 4.0481, 23.0848, 0.2701, 0.9628, 
1460433887.2180, 3.0469, 23.5270, 0.2508, 0.9680, 
1460433887.2380, 2.0879, 23.9850, 0.2314, 0.9729, 
1460433887.2560, 1.2691, 24.4109, 0.2138, 0.9769, 
1460433887.2750, 0.4582, 24.8746, 0.1952, 0.9808, 
1460433887.2950, -0.3282, 25.3784, 0.1756, 0.9845, 
1460433887.3140, -1.0044, 25.8721, 0.1568, 0.9876, 
1460433887.3340, -1.6351, 26.4073, 0.1371, 0.9906, 
1460433887.3530, -2.1519, 26.9305, 0.1182, 0.9930, 
1460433887.3730, -2.6047, 27.4966, 0.0983, 0.9952, 
1460433887.3920, -2.9452, 28.0486, 0.0794, 0.9968, 
1460433887.4110, -3.1961, 28.6142, 0.0605, 0.9982, 
1460433887.4310, -3.3624, 29.2238, 0.0405, 0.9992, 
1460433887.4500, -3.4273, 29.8159, 0.0215, 0.9998, 
1460433887.4700, -3.3988, 30.4523, 0.0015, 1.0000, 
1460433887.4890, -3.2814, 31.0687, -0.0175, 0.9998, 
1460433887.5080, -3.0789, 31.6960, -0.0365, 0.9993, 
1460433887.5280, -2.7773, 32.3673, -0.0565, 0.9984, 
1460433887.5470, -2.4111, 33.0146, -0.0754, 0.9972, 
1460433887.5670, -1.9468, 33.7052, -0.0954, 0.9954, 
1460433887.5870, -1.4074, 34.4042, -0.1153, 0.9933, 
1460433887.6060, -0.8312, 35.0750, -0.1341, 0.9910, 
1460433887.6250, -0.1988, 35.7515, -0.1529, 0.9882, 
1460433887.6450, 0.5214, 36.4685, -0.1726, 0.9850, 
1460433887.6640, 1.2510, 37.1533, -0.1913, 0.9815, 
1460433887.6830, 2.0190, 37.8405, -0.2099, 0.9777, 
1460433887.7020, 2.8194, 38.5289, -0.2285, 0.9735, 
1460433887.7220, 3.6908, 39.2537, -0.2479, 0.9688, 
1460433887.7440, 4.6762, 40.0496, -0.2692, 0.9631, 
1460433887.7630, 5.5438, 40.7343, -0.2874, 0.9578, 
1460433887.7840, 6.5146, 41.4868, -0.3075, 0.9516, 
1460433887.8030, 7.3990, 42.1626, -0.3255, 0.9456, 
1460433887.8220, 8.2848, 42.8322, -0.3434, 0.9392, 
1460433887.8410, 9.1685, 43.4945, -0.3612, 0.9325, 
1460433887.8600, 10.0468, 44.1485, -0.3788, 0.9255, 
1460433887.8790, 10.9169, 44.7929, -0.3963, 0.9181, 
1460433887.8990, 11.8213, 45.4598, -0.4146, 0.9100, 
1460433887.9180, 12.6673, 46.0813, -0.4318, 0.9020, 
1460433887.9380, 13.5421, 46.7217, -0.4498, 0.8931, 
1460433887.9570, 14.3569, 47.3160, -0.4667, 0.8844, 
1460433887.9770, 15.1962, 47.9256, -0.4843, 0.8749, 
1460433887.9960, 15.9753, 48.4887, -0.5008, 0.8656, 
1460433888.0150, 16.7361, 49.0353, -0.5171, 0.8559, 
1460433888.0340, 17.4784, 49.5647, -0.5333, 0.8459, 
1460433888.0530, 18.2021, 50.0761, -0.5493, 0.8356, 
1460433888.0740, 18.9805, 50.6196, -0.5667, 0.8239, 
1460433888.0940, 19.7010, 51.1153, -0.5831, 0.8124, 
1460433888.1140, 20.4018, 51.5891, -0.5992, 0.8006, 
1460433888.1360, 21.1505, 52.0841, -0.6167, 0.7872, 
1460433888.1560, 21.8116, 52.5101, -0.6323, 0.7747, 
1460433888.1760, 22.4547, 52.9127, -0.6477, 0.7619, 
1460433888.1970, 23.1114, 53.3099, -0.6635, 0.7482, 
1460433888.2170, 23.7198, 53.6637, -0.6783, 0.7347, 
1460433888.2360, 24.2831, 53.9776, -0.6922, 0.7217, 
1460433888.2560, 24.8611, 54.2845, -0.7065, 0.7077, 
1460433888.2750, 25.3965, 54.5538, -0.7198, 0.6942, 
1460433888.2950, 25.9462, 54.8139, -0.7335, 0.6796, 
1460433888.3150, 26.4822, 55.0501, -0.7470, 0.6648, 
1460433888.3340, 26.9788, 55.2526, -0.7595, 0.6505, 
1460433888.3540, 27.4889, 55.4430, -0.7723, 0.6352, 
1460433888.3730, 27.9614, 55.6025, -0.7843, 0.6204, 
1460433888.3930, 28.4464, 55.7482, -0.7965, 0.6046, 
1460433888.4120, 28.8955, 55.8660, -0.8079, 0.5894, 
1460433888.4320, 29.3558, 55.9687, -0.8195, 0.5731, 
1460433888.4520, 29.8035, 56.0500, -0.8308, 0.5566, 
1460433888.4710, 30.2169, 56.1080, -0.8412, 0.5407, 
1460433888.4910, 30.6394, 56.1492, -0.8519, 0.5238, 
1460433888.5100, 31.0286, 56.1702, -0.8617, 0.5075, 
1460433888.5300, 31.4252, 56.1736, -0.8716, 0.4902, 
1460433888.5500, 31.8080, 56.1585, -0.8813, 0.4726, 
1460433888.5690, 32.1588, 56.1276, -0.8901, 0.4558, 
1460433888.5890, 32.5142, 56.0784, -0.8990, 0.4379, 
1460433888.6090, 32.8550, 56.0126, -0.9076, 0.4199, 
1460433888.6280, 33.1649, 55.9353, -0.9154, 0.4025, 
1460433888.6480, 33.4765, 55.8392, -0.9233, 0.3841, 
1460433888.6680, 33.7726, 55.7285, -0.9308, 0.3656, 
1460433888.6880, 34.0533, 55.6039, -0.9379, 0.3469, 
1460433888.7070, 34.3053, 55.4732, -0.9443, 0.3290, 
1460433888.7290, 34.5794, 55.3076, -0.9513, 0.3082, 
1460433888.7490, 34.8120, 55.1446, -0.9573, 0.2891, 
1460433888.7690, 35.0288, 54.9702, -0.9629, 0.2699, 
1460433888.7890, 35.2300, 54.7850, -0.9681, 0.2506, 
1460433888.8080, 35.4069, 54.5997, -0.9727, 0.2321, 
1460433888.8280, 35.5784, 54.3953, -0.9771, 0.2126, 
1460433888.8490, 35.7427, 54.1709, -0.9814, 0.1921, 
1460433888.8690, 35.8845, 53.9484, -0.9850, 0.1724, 
1460433888.8900, 36.0189, 53.7061, -0.9884, 0.1517, 
1460433888.9100, 36.1335, 53.4676, -0.9913, 0.1319, 
1460433888.9300, 36.2358, 53.2220, -0.9937, 0.1120, 
1460433888.9490, 36.3225, 52.9824, -0.9957, 0.0931, 
1460433888.9690, 36.4033, 52.7242, -0.9973, 0.0732, 
1460433888.9880, 36.4711, 52.4733, -0.9985, 0.0543, 
1460433889.0080, 36.5339, 52.2038, -0.9994, 0.0343, 
1460433889.0280, 36.5888, 51.9291, -0.9999, 0.0143, 
1460433889.0480, 36.6368, 51.6494, -1.0000, -0.0057, 
1460433889.0680, 36.6790, 51.3651, -0.9997, -0.0257, 
1460433889.0880, 36.7165, 51.0765, -0.9990, -0.0457, 
1460433889.1090, 36.7517, 50.7689, -0.9978, -0.0667, 
1460433889.1290, 36.7823, 50.4721, -0.9962, -0.0866, 
1460433889.1500, 36.8126, 50.1564, -0.9942, -0.1075, 
1460433889.1710, 36.8419, 49.8370, -0.9917, -0.1284, 
1460433889.1910, 36.8698, 49.5294, -0.9890, -0.1482, 
1460433889.2120, 36.8999, 49.2031, -0.9856, -0.1689, 
1460433889.2320, 36.9302, 48.8893, -0.9821, -0.1886, 
1460433889.2530, 36.9644, 48.5567, -0.9779, -0.2092, 
1460433889.2730, 36.9997, 48.2373, -0.9735, -0.2287, 
1460433889.2940, 37.0404, 47.8991, -0.9685, -0.2491, 
1460433889.3150, 37.0851, 47.5581, -0.9630, -0.2693, 
1460433889.3340, 37.1293, 47.2473, -0.9578, -0.2876, 
1460433889.3540, 37.1800, 46.9179, -0.9518, -0.3067, 
1460433889.3730, 37.2323, 46.6030, -0.9458, -0.3247, 
1460433889.3930, 37.2917, 46.2692, -0.9391, -0.3436, 
1460433889.4130, 37.3556, 45.9334, -0.9321, -0.3623, 
1460433889.4330, 37.4241, 45.5955, -0.9246, -0.3809, 
1460433889.4530, 37.4970, 45.2555, -0.9168, -0.3993, 
1460433889.4720, 37.5704, 44.9307, -0.9091, -0.4166, 
1460433889.4920, 37.6518, 44.5868, -0.9006, -0.4347, 
1460433889.5140, 37.7461, 44.2063, -0.8908, -0.4544, 
1460433889.5340, 37.8360, 43.8585, -0.8815, -0.4721, 
1460433889.5550, 37.9345, 43.4912, -0.8714, -0.4905, 
1460433889.5750, 38.0320, 43.1395, -0.8614, -0.5079, 
1460433889.5950, 38.1332, 42.7859, -0.8511, -0.5250, 
1460433889.6160, 38.2432, 42.4128, -0.8399, -0.5428, 
1460433889.6350, 38.3461, 42.0735, -0.8294, -0.5586, 
1460433889.6550, 38.4578, 41.7146, -0.8181, -0.5751, 
1460433889.6750, 38.5731, 41.3539, -0.8064, -0.5913, 
1460433889.6940, 38.6862, 41.0097, -0.7950, -0.6066, 
1460433889.7150, 38.8153, 40.6274, -0.7821, -0.6231, 
1460433889.7500, 39.0413, 39.9862, -0.7598, -0.6501, 
1460433889.8220, 39.5582, 38.6510, -0.7111, -0.7031, 
1460433889.8450, 39.7418, 38.2201, -0.6948, -0.7192, 
1460433889.8680, 39.9362, 37.7871, -0.6780, -0.7350, 
1460433889.8900, 40.1335, 37.3709, -0.6617, -0.7498, 
1460433889.9130, 40.3531, 36.9339, -0.6443, -0.7648, 
1460433889.9350, 40.5770, 36.5140, -0.6273, -0.7788, 
1460433889.9570, 40.8158, 36.0923, -0.6100, -0.7924, 
1460433889.9780, 41.0587, 35.6881, -0.5932, -0.8050, 
1460433890.0000, 41.3300, 35.2630, -0.5754, -0.8179, 
1460433890.0230, 41.6330, 34.8167, -0.5564, -0.8309, 
1460433890.0450, 41.9422, 34.3880, -0.5380, -0.8429, 
1460433890.0680, 42.2865, 33.9381, -0.5185, -0.8551, 
1460433890.0900, 42.6361, 33.5062, -0.4996, -0.8663, 
1460433890.1120, 43.0056, 33.0726, -0.4804, -0.8771, 
1460433890.1350, 43.4127, 32.6176, -0.4601, -0.8879, 
1460433890.1570, 43.8209, 32.1808, -0.4404, -0.8978, 
1460433890.1800, 44.2659, 31.7226, -0.4197, -0.9077, 
1460433890.2030, 44.7271, 31.2627, -0.3987, -0.9171, 
1460433890.2250, 45.1806, 30.8214, -0.3784, -0.9256, 
1460433890.2480, 45.6639, 30.3585, -0.3570, -0.9341, 
1460433890.2710, 46.1521, 29.8941, -0.3354, -0.9421, 
1460433890.2940, 46.6394, 29.4282, -0.3137, -0.9495, 
1460433890.3180, 47.1404, 28.9405, -0.2908, -0.9568, 
1460433890.3410, 47.6056, 28.4717, -0.2687, -0.9632, 
1460433890.3640, 48.0482, 28.0016, -0.2465, -0.9691, 
1460433890.3870, 48.4595, 27.5301, -0.2242, -0.9746, 
1460433890.4100, 48.8303, 27.0573, -0.2017, -0.9795, 
1460433890.4330, 49.1509, 26.5833, -0.1791, -0.9838, 
1460433890.4560, 49.4112, 26.1080, -0.1564, -0.9877, 
1460433890.4780, 49.5946, 25.6523, -0.1347, -0.9909, 
1460433890.5010, 49.7082, 25.1748, -0.1118, -0.9937, 
1460433890.5240, 49.7322, 24.6961, -0.0890, -0.9960, 
1460433890.5460, 49.6633, 24.2373, -0.0670, -0.9978, 
