Column1, Column2,
1.45992e+009, 11.2144, 3.54326
1.45992e+009, 11.7056, 3.66587
1.45992e+009, 12.1569, 3.78419
1.45992e+009, 12.5668, 3.89711
1.45992e+009, 13.0011, 4.02333
1.45992e+009, 13.3907, 4.14327
1.45992e+009, 13.7671, 4.2664
1.45992e+009, 14.1579, 4.40323
1.45992e+009, 14.5008, 4.53256
1.45992e+009, 14.8247, 4.66466
1.45992e+009, 15.1279, 4.79938
1.45992e+009, 15.431, 4.9481
1.45992e+009, 15.6859, 5.08779
1.45992e+009, 15.9155, 5.22962
1.45992e+009, 16.1186, 5.37344
1.45992e+009, 16.3074, 5.53128
1.45992e+009, 16.4519, 5.67867
1.45992e+009, 16.5754, 5.84
1.45992e+009, 16.6583, 5.99023
1.45992e+009, 16.7138, 6.15419
1.45992e+009, 16.7336, 6.3192
1.45992e+009, 16.7199, 6.47223
1.45992e+009, 16.6707, 6.63856
1.45992e+009, 16.5939, 6.7924
1.45992e+009, 16.4771, 6.95916
1.45992e+009, 16.3262, 7.12579
1.45992e+009, 16.1575, 7.27927
1.45992e+009, 15.9439, 7.44495
1.45992e+009, 15.7193, 7.59713
1.45992e+009, 15.4477, 7.76096
1.45992e+009, 15.1482, 7.92345
1.45992e+009, 14.8485, 8.07206
1.45992e+009, 14.4725, 8.24349
1.45992e+009, 14.1295, 8.38856
1.45992e+009, 13.7073, 8.55535
1.45992e+009, 13.2638, 8.71922
1.45992e+009, 12.8688, 8.85714
1.45992e+009, 12.4275, 9.00371
1.45992e+009, 11.9742, 9.1471
1.45992e+009, 11.5113, 9.28711
1.45992e+009, 11.0409, 9.42354
1.45992e+009, 10.5651, 9.55619
1.45992e+009, 10.0861, 9.68488
1.45992e+009, 9.64278, 9.79999
1.45992e+009, 9.16316, 9.92058
1.45992e+009, 8.68608, 10.0367
1.45992e+009, 8.21338, 10.1482
1.45992e+009, 7.78244, 10.247
1.45992e+009, 7.32301, 10.3493
1.45992e+009, 6.83858, 10.454
1.45992e+009, 6.43326, 10.539
1.45992e+009, 6.00576, 10.6262
1.45992e+009, 5.59151, 10.7081
1.45992e+009, 5.22189, 10.7791
1.45992e+009, 4.83621, 10.8509
1.45992e+009, 4.46676, 10.9173
1.45992e+009, 4.14084, 10.9738
1.45992e+009, 3.80474, 11.0298
1.45992e+009, 3.48688, 11.0805
1.45992e+009, 3.21007, 11.1225
1.45992e+009, 2.90768, 11.1658
1.45992e+009, 2.647, 11.2005
1.45992e+009, 2.40589, 11.2301
1.45992e+009, 2.18445, 11.2545
1.45992e+009, 1.9827, 11.2739
1.45992e+009, 1.78739, 11.2893
1.45992e+009, 1.62627, 11.2987
1.45992e+009, 1.47433, 11.3036
1.45992e+009, 1.34446, 11.3033
1.45992e+009, 1.24328, 11.2986
1.45992e+009, 1.16043, 11.2897
1.45992e+009, 1.09551, 11.277
1.45992e+009, 1.0511, 11.262
1.45992e+009, 1.01939, 11.2423
1.45992e+009, 1.00424, 11.2194
1.45992e+009, 1.00516, 11.1934
1.45992e+009, 1.02159, 11.1647
1.45992e+009, 1.05302, 11.1334
1.45992e+009, 1.103, 11.0972
1.45992e+009, 1.16381, 11.0616
1.45992e+009, 1.23792, 11.0242
1.45992e+009, 1.32478, 10.9855
1.45992e+009, 1.42384, 10.9456
1.45992e+009, 1.53458, 10.905
1.45992e+009, 1.65648, 10.8639
1.45992e+009, 1.78902, 10.8225
1.45992e+009, 1.93171, 10.7813
1.45992e+009, 2.08408, 10.7405
1.45992e+009, 2.24566, 10.7005
1.45992e+009, 2.41603, 10.6615
1.45992e+009, 2.59476, 10.6238
1.45992e+009, 2.78146, 10.5879
1.45992e+009, 2.991, 10.5514
1.45992e+009, 3.20891, 10.5175
1.45992e+009, 3.38574, 10.4931
1.45992e+009, 3.60081, 10.4668
1.45992e+009, 3.80497, 10.4454
1.45992e+009, 4.032, 10.4256
1.45992e+009, 4.26489, 10.4094
1.45992e+009, 4.50344, 10.3972
1.45992e+009, 4.76645, 10.3889
1.45992e+009, 5.01617, 10.3859
1.45992e+009, 5.29086, 10.3879
1.45992e+009, 5.53094, 10.3944
1.45992e+009, 5.7547, 10.4042
1.45992e+009, 6.02362, 10.4208
1.45992e+009, 6.31859, 10.445
1.45992e+009, 6.59742, 10.4736
1.45992e+009, 6.88096, 10.5082
1.45992e+009, 7.16921, 10.549
1.45992e+009, 7.48489, 10.6001
1.45992e+009, 7.78293, 10.6543
1.45992e+009, 8.08572, 10.7153
1.45992e+009, 8.41717, 10.7885
1.45992e+009, 8.72997, 10.8636
1.45992e+009, 9.07233, 10.9524
1.45992e+009, 9.42048, 11.0495
1.45992e+009, 9.74902, 11.1471
1.45992e+009, 10.1086, 11.2603
1.45992e+009, 10.5006, 11.391
1.45992e+009, 10.8728, 11.5218
1.45992e+009, 11.2514, 11.6611
1.45992e+009, 11.5533, 11.7765
1.45992e+009, 11.9434, 11.9311
1.45992e+009, 12.3686, 12.1062
1.45992e+009, 12.6852, 12.2407
1.45992e+009, 13.0942, 12.4195
1.45992e+009, 13.4204, 12.5658
1.45992e+009, 13.7507, 12.7173
1.45992e+009, 14.0853, 12.8739
1.45992e+009, 14.4551, 13.0504
1.45992e+009, 14.8301, 13.2329
1.45992e+009, 15.242, 13.4372
1.45992e+009, 15.7571, 13.6979
1.45992e+009, 16.1164, 13.883
1.45992e+009, 16.5132, 14.0902
1.45992e+009, 16.9149, 14.3029
1.45992e+009, 17.4581, 14.5948
1.45992e+009, 17.8365, 14.8009
1.45992e+009, 18.2188, 15.0112
1.45992e+009, 18.6403, 15.2455
1.45992e+009, 19.0306, 15.4645
1.45992e+009, 19.6048, 15.7902
1.45992e+009, 20.1499, 16.103
1.45992e+009, 20.6642, 16.4011
1.45992e+009, 21.1835, 16.705
1.45992e+009, 21.5949, 16.9477
1.45992e+009, 22.1604, 17.2839
1.45992e+009, 22.7306, 17.6261
1.45992e+009, 23.305, 17.9739
1.45992e+009, 23.9218, 18.3507
1.45992e+009, 24.5034, 18.7091
1.45992e+009, 24.9316, 18.975
1.45992e+009, 25.3609, 19.2433
1.45992e+009, 25.7913, 19.5138
1.45992e+009, 26.4184, 19.9113
1.45992e+009, 27.0071, 20.2878
1.45992e+009, 27.4389, 20.5661
1.45992e+009, 27.8704, 20.8461
1.45992e+009, 28.3015, 21.1278
1.45992e+009, 28.7319, 21.411
1.45992e+009, 29.1613, 21.6956
1.45992e+009, 29.5894, 21.9815
1.45992e+009, 30.0548, 22.2948
1.45992e+009, 30.6335, 22.6881
1.45992e+009, 31.0555, 22.9776
1.45992e+009, 31.475, 23.268
1.45992e+009, 31.892, 23.559
1.45992e+009, 32.3061, 23.8507
1.45992e+009, 32.717, 24.1429
1.45992e+009, 33.272, 24.5419
1.45992e+009, 33.6747, 24.8349
1.45992e+009, 34.0735, 25.128
1.45992e+009, 34.6106, 25.5278
1.45992e+009, 35.1396, 25.9276
1.45992e+009, 35.6597, 26.327
1.45992e+009, 36.1369, 26.6993
1.45992e+009, 36.6387, 27.0974
1.45992e+009, 37.0978, 27.4682
1.45992e+009, 37.5795, 27.8644
1.45992e+009, 38.0191, 28.2329
1.45992e+009, 38.4487, 28.6001
1.45992e+009, 38.8679, 28.9658
1.45992e+009, 39.3054, 29.3558
1.45992e+009, 39.7303, 29.7438
1.45992e+009, 40.1423, 30.1296
1.45992e+009, 40.5411, 30.513
1.45992e+009, 40.9264, 30.8938
1.45992e+009, 41.2979, 31.272
1.45992e+009, 41.6318, 31.6225
1.45992e+009, 41.9533, 31.9704
1.45992e+009, 42.1969, 32.2418
1.45992e+009, 42.5371, 32.6336
1.45992e+009, 42.7611, 32.9008
1.45992e+009, 43.0533, 33.2622
1.45992e+009, 43.2577, 33.525
1.45992e+009, 43.54, 33.9039
1.45992e+009, 43.7883, 34.2553
1.45992e+009, 43.9601, 34.5105
1.45992e+009, 44.1944, 34.8781
1.45992e+009, 44.4099, 35.2412
1.45992e+009, 44.571, 35.5328
1.45992e+009, 44.6974, 35.7771
1.45992e+009, 44.8145, 36.0192
1.45992e+009, 44.9594, 36.3457
1.45992e+009, 45.0545, 36.5823
1.45992e+009, 45.1401, 36.8167
1.45992e+009, 45.2097, 37.0277
1.45992e+009, 45.2769, 37.2575
1.45992e+009, 45.3531, 37.5669
1.45992e+009, 45.4109, 37.8719
1.45992e+009, 45.4503, 38.1722
1.45992e+009, 45.4711, 38.4679
1.45992e+009, 45.4731, 38.7589
1.45992e+009, 45.4562, 39.0452
1.45992e+009, 45.4202, 39.3267
1.45992e+009, 45.3651, 39.6034
1.45992e+009, 45.2908, 39.8752
1.45992e+009, 45.1973, 40.1422
1.45992e+009, 45.0764, 40.4216
1.45992e+009, 44.9432, 40.6784
1.45992e+009, 44.8334, 40.8635
1.45992e+009, 44.6673, 41.1117
1.45992e+009, 44.4825, 41.3549
1.45992e+009, 44.2792, 41.5931
1.45992e+009, 44.0579, 41.8262
1.45992e+009, 43.9005, 41.9789
1.45992e+009, 43.6499, 42.2036
1.45992e+009, 43.4555, 42.3652
1.45992e+009, 43.1764, 42.5811
1.45992e+009, 42.9618, 42.7363
1.45992e+009, 42.6563, 42.9435
1.45992e+009, 42.3368, 43.1455
1.45992e+009, 41.9818, 43.3555
1.45992e+009, 41.6368, 43.5471
1.45992e+009, 41.2815, 43.7336
1.45992e+009, 41.015, 43.8671
1.45992e+009, 40.645, 44.0448
1.45992e+009, 40.3695, 44.1719
1.45992e+009, 40.0659, 44.3075
1.45992e+009, 39.6832, 44.4723
1.45992e+009, 39.2988, 44.6322
1.45992e+009, 38.9146, 44.787
1.45992e+009, 38.5327, 44.9367
1.45992e+009, 38.2555, 45.0434
1.45992e+009, 37.9815, 45.1474
1.45992e+009, 37.6149, 45.2848
1.45992e+009, 37.1887, 45.4432
1.45992e+009, 36.8255, 45.578
1.45992e+009, 36.5012, 45.6993
1.45992e+009, 36.1752, 45.8233
1.45992e+009, 35.8726, 45.9417
1.45992e+009, 35.58, 46.0614
1.45992e+009, 35.3348, 46.1685
1.45992e+009, 35.1214, 46.2701
1.45992e+009, 34.9525, 46.3604
1.45992e+009, 34.8077, 46.4514
1.45992e+009, 34.7015, 46.5372
1.45992e+009, 34.6329, 46.6224
1.45992e+009, 34.6116, 46.6926
1.45992e+009, 34.6306, 46.7625
1.45992e+009, 34.6934, 46.8271
1.45992e+009, 34.8005, 46.8865
1.45992e+009, 34.952, 46.9408
1.45992e+009, 35.1473, 46.99
1.45992e+009, 35.3696, 47.0315
1.45992e+009, 35.666, 47.0732
1.45992e+009, 35.9863, 47.1074
1.45992e+009, 36.3445, 47.1366
1.45992e+009, 36.7637, 47.1623
1.45992e+009, 37.2467, 47.1836
1.45992e+009, 37.7357, 47.1982
1.45992e+009, 38.2516, 47.2074
1.45992e+009, 38.7892, 47.2113
1.45992e+009, 39.3432, 47.2101
1.45992e+009, 39.9076, 47.2037
1.45992e+009, 40.4763, 47.1921
1.45992e+009, 41.043, 47.1756
1.45992e+009, 41.6337, 47.1527
1.45992e+009, 42.1761, 47.126
1.45992e+009, 42.7267, 47.0925
1.45992e+009, 43.2178, 47.0559
1.45992e+009, 43.6745, 47.0147
1.45992e+009, 44.0911, 46.9688
1.45992e+009, 44.4826, 46.9153
1.45992e+009, 44.8171, 46.8567
1.45992e+009, 45.0759, 46.7969
1.45992e+009, 45.2947, 46.7248
1.45992e+009, 45.4291, 46.6517
1.45992e+009, 45.4896, 46.5739
1.45992e+009, 45.467, 46.4821
1.45992e+009, 45.3564, 46.3897
1.45992e+009, 45.1705, 46.2977
1.45992e+009, 44.9228, 46.2069
1.45992e+009, 44.6056, 46.1123
1.45992e+009, 44.1957, 46.0082
1.45992e+009, 43.7692, 45.9122
1.45992e+009, 43.2541, 45.8069
1.45992e+009, 42.6783, 45.6981
1.45992e+009, 42.0448, 45.5861
1.45992e+009, 41.3573, 45.4708
1.45992e+009, 40.6646, 45.3594
1.45992e+009, 39.8366, 45.2308
1.45992e+009, 38.9621, 45.0989
1.45992e+009, 38.4071, 45.0168
1.45992e+009, 37.469, 44.8798
1.45992e+009, 36.553, 44.7476
1.45992e+009, 35.5568, 44.6049
1.45992e+009, 34.5955, 44.4675
1.45992e+009, 33.6768, 44.336
1.45992e+009, 32.6315, 44.1856
1.45992e+009, 31.6369, 44.0414
1.45992e+009, 30.6392, 43.895
1.45992e+009, 29.6419, 43.7467
1.45992e+009, 28.6483, 43.5965
1.45992e+009, 28.0669, 43.5073
1.45992e+009, 27.1429, 43.3634
1.45992e+009, 26.172, 43.2089
1.45992e+009, 25.2703, 43.0622
1.45992e+009, 24.3272, 42.9049
1.45992e+009, 23.4552, 42.7557
1.45992e+009, 22.5469, 42.5959
1.45992e+009, 21.7103, 42.4446
1.45992e+009, 20.8922, 42.2924
1.45992e+009, 19.9951, 42.1203
1.45992e+009, 19.171, 41.9569
1.45992e+009, 18.4164, 41.8024
1.45992e+009, 17.5921, 41.6281
1.45992e+009, 16.794, 41.4531
1.45992e+009, 15.9379, 41.2583
1.45992e+009, 15.2354, 41.0923
1.45992e+009, 14.5558, 40.9261
1.45992e+009, 13.8607, 40.75
1.45992e+009, 13.2268, 40.5836
1.45992e+009, 12.6145, 40.4172
1.45992e+009, 12.0232, 40.2509
1.45992e+009, 11.4193, 40.075
1.45992e+009, 10.8376, 39.8992
1.45992e+009, 10.2774, 39.7238
1.45992e+009, 9.76741, 39.5583
1.45992e+009, 9.27543, 39.3932
1.45992e+009, 8.77352, 39.2186
1.45992e+009, 8.31691, 39.0541
1.45992e+009, 7.87677, 38.8899
1.45992e+009, 7.45265, 38.726
1.45992e+009, 7.04418, 38.5624
1.45992e+009, 6.62834, 38.3893
1.45992e+009, 6.22933, 38.2165
1.45992e+009, 5.86766, 38.0535
1.45992e+009, 5.52056, 37.8904
1.45992e+009, 5.16875, 37.7177
1.45992e+009, 4.85125, 37.5545
1.45992e+009, 4.51329, 37.3717
1.45992e+009, 4.30904, 37.256
1.45992e+009, 4.12808, 37.1497
1.45992e+009, 3.95314, 37.0431
1.45992e+009, 3.75416, 36.9167
1.45992e+009, 3.59243, 36.8095
1.45992e+009, 3.32748, 36.6231
1.45992e+009, 3.08099, 36.4352
1.45992e+009, 2.93493, 36.3157
1.45992e+009, 2.68679, 36.0943
1.45992e+009, 2.48357, 35.8902
1.45992e+009, 2.32788, 35.7143
1.45992e+009, 2.18808, 35.5359
1.45992e+009, 2.06439, 35.3546
1.45992e+009, 1.95706, 35.1703
1.45992e+009, 1.86626, 34.9824
1.45992e+009, 1.79219, 34.7909
1.45992e+009, 1.73502, 34.5952
1.45992e+009, 1.69306, 34.3831
1.45992e+009, 1.67107, 34.1779
1.45992e+009, 1.6663, 33.9674
1.45992e+009, 1.68003, 33.7385
1.45992e+009, 1.71073, 33.5162
1.45992e+009, 1.75859, 33.2876
1.45992e+009, 1.8235, 33.0523
1.45992e+009, 1.90529, 32.8098
1.45992e+009, 2.00377, 32.5599
1.45992e+009, 2.11866, 32.3022
1.45992e+009, 2.25784, 32.0203
1.45992e+009, 2.40547, 31.7453
1.45992e+009, 2.57845, 31.4444
1.45992e+009, 2.76799, 31.133
1.45992e+009, 2.9735, 30.8109
1.45992e+009, 3.207, 30.4588
1.45992e+009, 3.44317, 30.1133
1.45992e+009, 3.67886, 29.7762
1.45992e+009, 3.94105, 29.4075
1.45992e+009, 4.19983, 29.048
1.45992e+009, 4.46875, 28.6772
1.45992e+009, 4.74703, 28.2951
1.45992e+009, 5.03393, 27.9015
1.45992e+009, 5.34624, 27.4721
1.45992e+009, 5.64847, 27.0546
1.45992e+009, 5.99364, 26.5741
1.45992e+009, 6.32692, 26.1055
1.45992e+009, 6.68438, 25.5968
1.45992e+009, 7.00832, 25.1294
1.45992e+009, 7.33544, 24.6506
1.45992e+009, 7.66506, 24.1607
1.45992e+009, 7.99654, 23.6598
1.45992e+009, 8.32929, 23.1482
1.45992e+009, 8.66273, 22.6263
1.45992e+009, 8.99632, 22.0943
1.45992e+009, 9.32959, 21.5526
1.45992e+009, 9.66205, 21.0016
1.45992e+009, 9.97385, 20.4751
1.45992e+009, 10.3036, 19.9076
1.45992e+009, 10.6506, 19.2983
1.45992e+009, 10.995, 18.6809
1.45992e+009, 11.3176, 18.0912
1.45992e+009, 11.6373, 17.4956
1.45992e+009, 11.9539, 16.8948
1.45992e+009, 12.2672, 16.2896
1.45992e+009, 12.5951, 15.6447
1.45992e+009, 12.901, 15.0326
1.45992e+009, 13.2029, 14.4183
1.45992e+009, 13.5008, 13.8027
1.45992e+009, 13.7945, 13.1865
1.45992e+009, 14.0837, 12.5706
1.45992e+009, 14.385, 11.9198
1.45992e+009, 14.6972, 11.2352
1.45992e+009, 14.9712, 10.6257
1.45992e+009, 15.2401, 10.0201
1.45992e+009, 15.4111, 9.63057
1.45992e+009, 15.6708, 9.03299
1.45992e+009, 15.9246, 8.4414
1.45992e+009, 16.1866, 7.82246
1.45992e+009, 16.4412, 7.21211
