Time, Value0, Value 1, X, Y,
1460493711.7110, 40.0199, 45.8535, -2.3944, -1.6877, 
1460493711.7250, 39.7803, 45.8450, -2.3592, -1.7293, 
1460493711.7390, 39.5269, 45.8323, -2.3232, -1.7700, 
1460493711.7530, 39.2599, 45.8152, -2.2864, -1.8100, 
1460493711.7670, 38.9794, 45.7938, -2.2489, -1.8490, 
1460493711.7800, 38.7071, 45.7700, -2.2134, -1.8845, 
1460493711.7930, 38.4236, 45.7424, -2.1772, -1.9193, 
1460493711.8070, 38.1059, 45.7084, -2.1376, -1.9558, 
1460493711.8240, 37.7033, 45.6612, -2.0886, -1.9990, 
1460493711.8410, 37.2826, 45.6073, -2.0386, -2.0407, 
1460493711.8560, 36.8967, 45.5543, -1.9938, -2.0764, 
1460493711.8700, 36.5244, 45.5002, -1.9513, -2.1088, 
1460493711.8860, 36.0850, 45.4327, -1.9021, -2.1445, 
1460493711.9010, 35.6599, 45.3640, -1.8552, -2.1769, 
1460493711.9150, 35.2520, 45.2952, -1.8110, -2.2061, 
1460493711.9310, 34.7731, 45.2109, -1.7599, -2.2382, 
1460493711.9470, 34.2810, 45.1205, -1.7081, -2.2690, 
1460493711.9600, 33.8719, 45.0426, -1.6656, -2.2931, 
1460493711.9740, 33.4222, 44.9542, -1.6195, -2.3180, 
1460493711.9890, 32.9305, 44.8544, -1.5696, -2.3435, 
1460493712.0020, 32.4964, 44.7635, -1.5260, -2.3646, 
1460493712.0160, 32.0210, 44.6611, -1.4788, -2.3864, 
1460493712.0310, 31.5030, 44.5462, -1.4278, -2.4085, 
1460493712.0460, 30.9767, 44.4259, -1.3765, -2.4295, 
1460493712.0590, 30.5141, 44.3172, -1.3319, -2.4466, 
1460493712.0730, 30.0097, 44.1957, -1.2835, -2.4640, 
1460493712.0880, 29.4628, 44.0602, -1.2315, -2.4815, 
1460493712.1020, 28.9466, 43.9289, -1.1827, -2.4968, 
1460493712.1160, 28.4255, 43.7928, -1.1338, -2.5109, 
1460493712.1300, 27.9000, 43.6521, -1.0848, -2.5240, 
1460493712.1460, 27.2946, 43.4855, -1.0286, -2.5376, 
1460493712.1590, 26.7994, 43.3456, -0.9829, -2.5477, 
1460493712.1730, 26.2635, 43.1904, -0.9337, -2.5575, 
1460493712.1870, 25.7252, 43.0306, -0.8844, -2.5662, 
1460493712.2010, 25.1852, 42.8661, -0.8351, -2.5739, 
1460493712.2160, 24.6052, 42.6847, -0.7824, -2.5809, 
1460493712.2310, 24.0244, 42.4980, -0.7297, -2.5867, 
1460493712.2460, 23.4435, 42.3060, -0.6770, -2.5913, 
1460493712.2590, 22.9405, 42.1353, -0.6315, -2.5943, 
1460493712.2730, 22.3997, 41.9471, -0.5827, -2.5966, 
1460493712.2860, 21.8988, 41.7683, -0.5374, -2.5978, 
1460493712.3000, 21.3613, 41.5714, -0.4889, -2.5980, 
1460493712.3140, 20.8263, 41.3701, -0.4405, -2.5973, 
1460493712.3280, 20.2941, 41.1643, -0.3924, -2.5956, 
1460493712.3420, 19.7653, 40.9541, -0.3445, -2.5928, 
1460493712.3770, 18.4608, 40.4096, -0.2261, -2.5816, 
1460493712.3910, 17.9472, 40.1844, -0.1793, -2.5755, 
1460493712.4050, 17.4387, 39.9550, -0.1328, -2.5684, 
1460493712.4200, 16.9001, 39.7046, -0.0834, -2.5597, 
1460493712.4370, 16.2979, 39.4151, -0.0280, -2.5486, 
1460493712.4520, 15.7742, 39.1549, 0.0204, -2.5377, 
1460493712.4690, 15.1897, 38.8544, 0.0746, -2.5241, 
1460493712.4840, 14.6824, 38.5846, 0.1219, -2.5111, 
1460493712.4970, 14.2492, 38.3473, 0.1625, -2.4989, 
1460493712.5100, 13.8221, 38.1068, 0.2026, -2.4861, 
1460493712.5250, 13.3373, 37.8254, 0.2483, -2.4704, 
1460493712.5390, 12.8924, 37.5592, 0.2904, -2.4549, 
1460493712.5530, 12.4551, 37.2895, 0.3320, -2.4386, 
1460493712.5660, 12.0558, 37.0360, 0.3700, -2.4227, 
1460493712.5790, 11.6630, 36.7798, 0.4076, -2.4063, 
1460493712.5930, 11.2474, 36.5008, 0.4475, -2.3878, 
1460493712.6060, 10.8684, 36.2390, 0.4840, -2.3700, 
1460493712.6200, 10.4674, 35.9542, 0.5227, -2.3501, 
1460493712.6360, 10.0185, 35.6253, 0.5661, -2.3266, 
1460493712.6490, 9.6609, 35.3554, 0.6007, -2.3068, 
1460493712.6630, 9.2828, 35.0623, 0.6374, -2.2849, 
