Column1, Column2,
1459919152.1000, 26.8685, 13.1070
1459919152.1130, 26.6201, 12.9488
1459919152.1260, 26.3686, 12.7916
1459919152.1380, 26.1338, 12.6473
1459919152.1500, 25.8967, 12.5038
1459919152.1630, 25.6372, 12.3491
1459919152.1760, 25.3753, 12.1950
1459919152.1890, 25.1112, 12.0416
1459919152.2040, 24.8040, 11.8653
1459919152.2150, 24.5773, 11.7364
1459919152.2280, 24.3080, 11.5844
1459919152.2400, 24.0584, 11.4444
1459919152.2530, 23.7871, 11.2929
1459919152.2650, 23.5361, 11.1532
1459919152.2780, 23.2640, 11.0019
1459919152.2910, 22.9919, 10.8506
1459919152.3030, 22.7411, 10.7109
1459919152.3160, 22.4701, 10.5593
1459919152.3280, 22.2208, 10.4192
1459919152.3410, 21.9521, 10.2670
1459919152.3540, 21.6852, 10.1145
1459919152.3670, 21.4203, 9.9614
1459919152.3800, 21.1579, 9.8078
1459919152.3950, 20.8588, 9.6297
1459919152.4080, 20.6029, 9.4746
1459919152.4190, 20.3893, 9.3428
1459919152.4330, 20.1214, 9.1740
1459919152.4460, 19.8771, 9.0164
1459919152.4600, 19.6193, 8.8456
1459919152.4730, 19.3849, 8.6859
1459919152.4850, 19.1734, 8.5375
1459919152.4980, 18.9495, 8.3756
1459919152.5110, 18.7316, 8.2126
1459919152.5240, 18.5198, 8.0483
1459919152.5370, 18.3145, 7.8828
1459919152.5500, 18.1160, 7.7161
1459919152.5620, 17.9389, 7.5610
1459919152.5750, 17.7539, 7.3917
1459919152.5880, 17.5763, 7.2211
1459919152.6010, 17.4064, 7.0493
1459919152.6130, 17.2564, 6.8894
1459919152.6260, 17.1015, 6.7151
1459919152.6390, 16.9547, 6.5394
1459919152.6520, 16.8161, 6.3625
1459919152.6640, 16.6955, 6.1982
1459919152.6780, 16.5638, 6.0052
1459919152.6900, 16.4587, 5.8388
1459919152.7050, 16.3374, 5.6295
1459919152.7210, 16.2204, 5.4049
1459919152.7350, 16.1285, 5.2074
1459919152.7480, 16.0519, 5.0231
1459919152.7610, 15.9835, 4.8382
1459919152.7740, 15.9232, 4.6528
1459919152.7860, 15.8748, 4.4813
1459919152.7990, 15.8298, 4.2952
1459919152.8120, 15.7924, 4.1090
1459919152.8250, 15.7625, 3.9228
1459919152.8390, 15.7382, 3.7225
1459919152.8510, 15.7237, 3.5511
1459919152.8640, 15.7143, 3.3660
1459919152.8770, 15.7110, 3.1816
1459919152.8900, 15.7134, 2.9981
1459919152.9030, 15.7211, 2.8158
1459919152.9160, 15.7337, 2.6348
1459919152.9280, 15.7491, 2.4691
1459919152.9410, 15.7695, 2.2913
1459919152.9540, 15.7931, 2.1156
1459919152.9670, 15.8193, 1.9421
1459919152.9790, 15.8453, 1.7843
1459919152.9920, 15.8748, 1.6159
1459919153.0050, 15.9049, 1.4506
1459919153.0190, 15.9372, 1.2762
1459919153.0320, 15.9663, 1.1181
1459919153.0450, 15.9937, 0.9638
1459919153.0580, 16.0185, 0.8138
1459919153.0730, 16.0429, 0.6462
1459919153.0860, 16.0595, 0.5061
1459919153.0990, 16.0708, 0.3711
1459919153.1120, 16.0759, 0.2415
1459919153.1260, 16.0737, 0.1083
1459919153.1390, 16.0633, -0.0091
1459919153.1530, 16.0422, -0.1286
1459919153.1660, 16.0124, -0.2326
1459919153.1790, 15.9720, -0.3297
1459919153.1920, 15.9200, -0.4196
1459919153.2060, 15.8503, -0.5081
1459919153.2200, 15.7654, -0.5875
1459919153.2330, 15.6721, -0.6528
1459919153.2460, 15.5642, -0.7099
1459919153.2600, 15.4311, -0.7616
1459919153.2730, 15.2912, -0.8005
1459919153.2870, 15.1223, -0.8321
1459919153.2980, 14.9762, -0.8494
1459919153.3120, 14.7728, -0.8614
1459919153.3250, 14.5663, -0.8624
1459919153.3380, 14.3428, -0.8533
1459919153.3520, 14.0831, -0.8322
1459919153.3650, 13.8244, -0.8018
1459919153.3780, 13.5493, -0.7609
1459919153.3910, 13.2581, -0.7092
1459919153.4040, 12.9515, -0.6467
1459919153.4180, 12.6048, -0.5672
1459919153.4310, 12.2685, -0.4817
1459919153.4440, 11.9194, -0.3851
1459919153.4580, 11.5305, -0.2685
1459919153.4720, 11.1298, -0.1387
1459919153.4850, 10.7487, -0.0064
1459919153.4980, 10.3606, 0.1373
1459919153.5110, 9.9673, 0.2925
1459919153.5240, 9.5705, 0.4591
1459919153.5380, 9.1417, 0.6513
1459919153.5510, 8.7444, 0.8415
1459919153.5640, 8.3501, 1.0431
1459919153.5770, 7.9611, 1.2559
1459919153.5910, 7.5509, 1.4976
1459919153.6040, 7.1807, 1.7335
1459919153.6180, 6.7964, 1.9998
1459919153.6310, 6.4555, 2.2582
1459919153.6450, 6.1085, 2.5485
1459919153.6590, 5.7855, 2.8510
1459919153.6730, 5.4895, 3.1654
1459919153.6870, 5.2235, 3.4914
1459919153.7010, 4.9905, 3.8290
1459919153.7140, 4.8060, 4.1524
1459919153.7280, 4.6443, 4.5112
1459919153.7420, 4.5232, 4.8806
1459919153.7560, 4.4450, 5.2603
1459919153.7700, 4.4119, 5.6500
1459919153.7830, 4.4231, 6.0204
1459919153.7970, 4.4818, 6.4283
1459919153.8110, 4.5901, 6.8452
1459919153.8250, 4.7492, 7.2705
1459919153.8390, 4.9597, 7.7041
1459919153.8530, 5.2220, 8.1454
1459919153.8660, 5.5122, 8.5619
1459919153.8800, 5.8746, 9.0172
1459919153.8940, 6.2884, 9.4791
1459919153.9080, 6.7527, 9.9472
1459919153.9220, 7.2665, 10.4211
1459919153.9360, 7.8282, 10.9004
1459919153.9490, 8.3913, 11.3500
1459919153.9590, 8.8507, 11.6985
1459919153.9730, 9.5305, 12.1902
1459919153.9870, 10.2510, 12.6857
1459919154.0010, 11.0095, 13.1848
1459919154.0150, 11.8033, 13.6870
1459919154.0290, 12.6295, 14.1920
1459919154.0430, 13.4850, 14.6992
1459919154.0570, 14.3665, 15.2085
1459919154.0710, 15.2710, 15.7193
1459919154.0850, 16.1948, 16.2314
1459919154.0980, 17.0672, 16.7077
1459919154.1120, 18.0192, 17.2211
1459919154.1260, 18.9808, 17.7347
1459919154.1410, 20.0179, 18.2849
1459919154.1550, 20.9890, 18.7979
1459919154.1690, 21.9597, 19.3102
1459919154.1830, 22.9271, 19.8214
1459919154.1970, 23.8882, 20.3312
1459919154.2110, 24.8403, 20.8395
1459919154.2250, 25.7807, 21.3458
1459919154.2390, 26.7072, 21.8501
1459919154.2540, 27.6818, 22.3877
1459919154.2680, 28.5723, 22.8867
1459919154.2820, 29.4427, 23.3830
1459919154.2930, 30.1113, 23.7708
1459919154.3040, 30.7657, 24.1567
1459919154.3190, 31.6341, 24.6796
1459919154.3330, 32.4187, 25.1641
1459919154.3470, 33.1773, 25.6449
1459919154.3610, 33.9092, 26.1219
1459919154.3750, 34.6141, 26.5951
1459919154.3900, 35.3389, 27.0976
1459919154.4060, 36.0772, 27.6283
1459919154.4170, 36.5640, 27.9900
1459919154.4280, 37.0340, 28.3490
1459919154.4390, 37.4872, 28.7053
1459919154.4500, 37.9241, 29.0589
1459919154.4660, 38.5306, 29.5683
1459919154.4810, 39.0689, 30.0405
1459919154.4950, 39.5456, 30.4765
1459919154.5060, 39.9035, 30.8158
1459919154.5200, 40.3382, 31.2435
1459919154.5310, 40.6642, 31.5763
1459919154.5450, 41.0600, 31.9957
1459919154.5610, 41.4875, 32.4693
1459919154.5720, 41.7668, 32.7913
1459919154.5880, 42.1531, 33.2546
1459919154.5990, 42.4058, 33.5696
1459919154.6110, 42.6701, 33.9100
1459919154.6240, 42.9439, 34.2750
1459919154.6360, 43.1859, 34.6083
1459919154.6490, 43.4372, 34.9657
1459919154.6630, 43.6962, 35.3461
1459919154.6760, 43.9268, 35.6954
1459919154.6890, 44.1488, 36.0409
1459919154.7030, 44.3790, 36.4086
1459919154.7140, 44.5542, 36.6945
1459919154.7290, 44.7858, 37.0801
1459919154.7440, 45.0101, 37.4608
1459919154.7580, 45.2136, 37.8117
1459919154.7690, 45.3702, 38.0846
1459919154.7830, 45.5659, 38.4282
