TimeColumn1, Column2,
1460076452.6700, -0.7357, 51.8902
1460076452.6890, -0.5995, 52.0598
1460076452.7080, -0.4668, 52.2157
1460076452.7270, -0.3378, 52.3570
1460076452.7460, -0.2126, 52.4827
1460076452.7650, -0.0913, 52.5919
1460076452.7840, 0.0262, 52.6839
1460076452.8030, 0.1402, 52.7577
1460076452.8210, 0.2451, 52.8102
1460076452.8400, 0.3528, 52.8465
1460076452.8590, 0.4578, 52.8624
1460076452.8790, 0.5658, 52.8565
1460076452.8930, 0.6403, 52.8380
1460076452.9030, 0.6931, 52.8176
1460076452.9220, 0.7926, 52.7615
1460076452.9330, 0.8500, 52.7186
1460076452.9450, 0.9126, 52.6630
1460076452.9640, 1.0122, 52.5558
1460076452.9820, 1.1076, 52.4324
1460076452.9930, 1.1668, 52.3464
1460076453.0060, 1.2377, 52.2343
1460076453.0250, 1.3439, 52.0501
1460076453.0440, 1.4540, 51.8415
1460076453.0640, 1.5750, 51.5955
1460076453.0820, 1.6893, 51.3511
1460076453.1020, 1.8232, 51.0539
1460076453.1210, 1.9581, 50.7469
1460076453.1410, 2.1094, 50.3979
1460076453.1520, 2.1970, 50.1948
1460076453.1710, 2.3563, 49.8257
1460076453.1900, 2.5265, 49.4338
1460076453.2090, 2.7085, 49.0194
1460076453.2290, 2.9137, 48.5598
1460076453.2480, 3.1224, 48.1013
1460076453.2670, 3.3453, 47.6224
1460076453.2870, 3.5960, 47.0970
1460076453.3060, 3.8500, 46.5785
1460076453.3250, 4.1200, 46.0418
1460076453.3450, 4.4219, 45.4584
1460076453.3640, 4.7259, 44.8874
1460076453.3840, 5.0642, 44.2698
1460076453.4020, 5.3848, 43.7004
1460076453.4210, 5.7399, 43.0864
1460076453.4400, 6.1121, 42.4599
1460076453.4590, 6.5010, 41.8222
1460076453.4780, 6.9065, 41.1741
1460076453.4980, 7.3507, 40.4818
1460076453.5620, 8.8842, 38.2109
1460076453.5920, 9.6561, 37.1251
1460076453.6100, 10.1333, 36.4693
1460076453.6250, 10.5384, 35.9211
1460076453.6450, 11.0878, 35.1884
1460076453.6560, 11.3941, 34.7850
1460076453.6760, 11.9578, 34.0512
1460076453.6960, 12.5287, 33.3180
1460076453.7160, 13.1057, 32.5862
1460076453.7360, 13.6870, 31.8567
1460076453.7550, 14.2421, 31.1665
1460076453.7660, 14.5642, 30.7685
1460076453.7860, 15.1503, 30.0481
1460076453.8040, 15.6771, 29.4040
1460076453.8150, 15.9984, 29.0125
1460076453.8340, 16.5512, 28.3406
1460076453.8540, 17.1290, 27.6394
1460076453.8680, 17.5303, 27.1527
1460076453.8900, 18.1545, 26.3950
1460076453.9100, 18.7138, 25.7142
1460076453.9210, 19.0177, 25.3432
1460076453.9350, 19.4002, 24.8746
1460076453.9550, 19.9379, 24.2124
1460076453.9660, 20.2288, 23.8519
1460076453.9850, 20.7228, 23.2355
1460076453.9960, 21.0036, 22.8823
1460076454.0080, 21.3054, 22.5003
1460076454.0270, 21.7732, 21.9021
1460076454.0460, 22.2281, 21.3124
1460076454.0660, 22.6926, 20.7008
1460076454.0860, 23.1418, 20.0987
1460076454.1060, 23.5755, 19.5062
1460076454.1260, 23.9934, 18.9232
1460076454.1370, 24.2164, 18.6066
1460076454.1590, 24.6482, 17.9819
1460076454.1790, 25.0243, 17.4239
1460076454.2090, 25.5598, 16.6043
1460076454.2240, 25.8151, 16.2023
1460076454.2430, 26.1272, 15.7003
1460076454.2620, 26.4273, 15.2064
1460076454.2800, 26.7015, 14.7458
1460076454.2910, 26.8646, 14.4678
1460076454.3010, 27.0101, 14.2173
1460076454.3210, 27.2940, 13.7226
1460076454.3410, 27.5701, 13.2363
1460076454.3600, 27.8265, 12.7818
1460076454.3800, 28.0925, 12.3111
1460076454.4010, 28.3697, 11.8254
1460076454.4210, 28.6343, 11.3705
1460076454.4410, 28.9022, 10.9231
1460076454.4600, 29.1624, 10.5048
1460076454.4710, 29.3166, 10.2656
1460076454.4910, 29.6056, 9.8361
1460076454.5100, 29.8929, 9.4345
1460076454.5300, 30.2120, 9.0182
1460076454.5410, 30.3960, 8.7921
1460076454.5510, 30.5691, 8.5883
1460076454.5710, 30.9337, 8.1854
1460076454.5910, 31.3254, 7.7889
1460076454.6100, 31.7258, 7.4179
1460076454.6210, 31.9712, 7.2056
1460076454.6400, 32.4204, 6.8433
1460076454.6590, 32.9035, 6.4863
1460076454.6790, 33.4511, 6.1162
1460076454.6980, 34.0103, 5.7700
1460076454.7090, 34.3519, 5.5719
1460076454.7290, 35.0076, 5.2162
1460076454.7480, 35.6722, 4.8834
1460076454.7590, 36.0757, 4.6931
1460076454.7780, 36.8048, 4.3682
1460076454.7890, 37.2452, 4.1824
1460076454.8090, 38.0795, 3.8488
1460076454.8290, 38.9552, 3.5208
1460076454.8490, 39.8694, 3.1981
1460076454.8690, 40.8184, 2.8809
1460076454.8800, 41.3535, 2.7088
1460076454.8910, 41.8969, 2.5383
1460076454.9020, 42.4476, 2.3695
1460076454.9130, 43.0045, 2.2024
1460076454.9240, 43.5667, 2.0369
1460076454.9370, 44.2362, 1.8434
1460076454.9490, 44.8573, 1.6669
1460076454.9600, 45.4279, 1.5068
1460076454.9720, 46.0501, 1.3342
1460076454.9820, 46.5670, 1.1918
1460076455.0020, 47.5920, 0.9113
1460076455.0130, 48.1480, 0.7594
1460076455.0250, 48.7460, 0.5956
1460076455.0360, 49.2847, 0.4473
1460076455.0560, 50.2353, 0.1821
1460076455.0750, 51.0966, -0.0644
1460076455.0930, 51.8675, -0.2932
1460076455.1120, 52.6260, -0.5294
1460076455.1230, 53.0363, -0.6637
1460076455.1430, 53.7225, -0.9032
1460076455.1540, 54.0647, -1.0324
1460076455.1650, 54.3803, -1.1597
1460076455.1760, 54.6682, -1.2852
1460076455.1950, 55.0970, -1.4974
1460076455.2150, 55.4503, -1.7147
1460076455.2340, 55.6886, -1.9152
1460076455.2530, 55.8292, -2.1100
1460076455.2730, 55.8696, -2.3086
1460076455.2920, 55.8049, -2.4912
1460076455.3120, 55.6286, -2.6769
1460076455.3310, 55.3600, -2.8471
1460076455.3500, 54.9952, -3.0111
1460076455.3700, 54.5112, -3.1771
1460076455.3800, 54.2322, -3.2574
1460076455.4000, 53.6041, -3.4129
1460076455.4190, 52.9259, -3.5540
1460076455.4380, 52.1747, -3.6887
1460076455.4580, 51.3127, -3.8234
1460076455.4780, 50.3863, -3.9508
1460076455.4980, 49.4045, -4.0709
1460076455.5170, 48.4289, -4.1782
1460076455.5290, 47.7950, -4.2424
1460076455.5480, 46.7688, -4.3386
1460076455.5680, 45.6665, -4.4325
1460076455.5880, 44.5504, -4.5188
1460076455.6080, 43.4289, -4.5975
1460076455.6280, 42.3101, -4.6685
1460076455.6480, 41.2015, -4.7317
1460076455.6680, 40.1097, -4.7872
1460076455.6880, 39.0408, -4.8349
1460076455.7070, 38.0512, -4.8730
1460076455.7240, 37.1903, -4.9010
1460076455.7440, 36.2104, -4.9268
1460076455.7640, 35.2689, -4.9446
1460076455.7840, 34.3678, -4.9546
1460076455.8030, 33.5506, -4.9567
1460076455.8140, 33.0950, -4.9547
1460076455.8330, 32.3385, -4.9455
1460076455.8520, 31.6204, -4.9293
1460076455.8630, 31.2220, -4.9166
1460076455.8820, 30.5629, -4.8890
1460076455.8930, 30.1978, -4.8698
1460076455.9030, 29.8761, -4.8502
1460076455.9140, 29.5331, -4.8265
1460076455.9330, 28.9664, -4.7797
1460076455.9440, 28.6526, -4.7495
1460076455.9630, 28.1337, -4.6915
1460076455.9830, 27.6169, -4.6229
1460076456.0030, 27.1275, -4.5464
1460076456.0140, 26.8689, -4.5009
1460076456.0250, 26.6172, -4.4532
1460076456.0440, 26.1973, -4.3651
1460076456.0640, 25.7731, -4.2647
1460076456.0840, 25.3644, -4.1566
1460076456.1040, 24.9682, -4.0407
1460076456.1240, 24.5818, -3.9171
1460076456.1450, 24.1839, -3.7790
1460076456.1570, 23.9590, -3.6963
1460076456.1770, 23.5867, -3.5522
1460076456.1960, 23.2340, -3.4083
1460076456.2150, 22.8808, -3.2574
1460076456.2340, 22.5254, -3.0996
1460076456.2530, 22.1664, -2.9349
1460076456.2640, 21.9565, -2.8364
1460076456.2830, 21.5895, -2.6608
1460076456.2940, 21.3742, -2.5559
1460076456.3130, 20.9968, -2.3694
1460076456.3320, 20.6117, -2.1760
1460076456.3510, 20.2185, -1.9756
1460076456.3700, 19.8167, -1.7683
1460076456.3800, 19.6016, -1.6565
1460076456.4000, 19.1638, -1.4269
1460076456.4190, 18.7385, -1.2016
1460076456.4380, 18.3041, -0.9693
1460076456.4570, 17.8605, -0.7300
1460076456.4760, 17.4082, -0.4836
1460076456.4870, 17.1423, -0.3377
1460076456.5060, 16.6768, -0.0800
1460076456.5250, 16.2034, 0.1849
1460076456.5450, 15.6975, 0.4717
1460076456.5640, 15.2101, 0.7516
1460076456.5840, 14.6910, 1.0542
1460076456.6040, 14.1665, 1.3651
1460076456.6240, 13.6377, 1.6844
1460076456.6440, 13.1056, 2.0122
1460076456.6630, 12.5983, 2.3315
1460076456.6830, 12.0635, 2.6761
1460076456.7030, 11.5292, 3.0295
1460076456.7220, 11.0232, 3.3735
1460076456.7330, 10.7314, 3.5764
1460076456.7520, 10.2303, 3.9333
1460076456.7720, 9.7080, 4.3180
1460076456.7920, 9.1921, 4.7121
1460076456.8120, 8.6842, 5.1157
1460076456.8310, 8.2103, 5.5080
1460076456.8510, 7.7218, 5.9305
1460076456.8710, 7.2451, 6.3630
1460076456.8910, 6.7815, 6.8054
1460076456.9110, 6.3321, 7.2581
1460076456.9220, 6.0915, 7.5114
1460076456.9410, 5.6872, 7.9564
1460076456.9520, 5.4601, 8.2183
1460076456.9720, 5.0606, 8.7028
1460076456.9820, 4.8676, 8.9490
1460076456.9930, 4.6607, 9.2230
1460076457.0040, 4.4595, 9.5002
1460076457.0240, 4.1085, 10.0125
1460076457.0430, 3.7933, 10.5094
1460076457.0540, 3.6190, 10.8015
1460076457.0710, 3.3616, 11.2596
1460076457.0860, 3.1467, 11.6703
1460076457.0970, 2.9964, 11.9755
1460076457.1070, 2.8651, 12.2558
1460076457.1270, 2.6177, 12.8247
1460076457.1390, 2.4789, 13.1714
1460076457.1510, 2.3473, 13.5219
1460076457.1640, 2.2127, 13.9062
1460076457.1840, 2.0217, 14.5063
1460076457.2040, 1.8495, 15.1172
1460076457.2150, 1.7627, 15.4577
1460076457.2350, 1.6185, 16.0851
1460076457.2550, 1.4915, 16.7228
1460076457.2750, 1.3806, 17.3707
1460076457.2940, 1.2895, 17.9954
1460076457.3150, 1.2037, 18.6959
1460076457.3340, 1.1387, 19.3385
1460076457.3530, 1.0846, 19.9892
1460076457.3730, 1.0384, 20.6823
1460076457.3920, 1.0038, 21.3482
1460076457.4030, 0.9874, 21.7369
1460076457.4140, 0.9736, 22.1277
1460076457.4330, 0.9548, 22.8077
1460076457.4440, 0.9467, 23.2040
1460076457.4630, 0.9367, 23.8926
1460076457.4740, 0.9329, 24.2936
1460076457.4850, 0.9304, 24.6960
1460076457.5050, 0.9284, 25.4311
1460076457.5250, 0.9290, 26.1699
1460076457.5360, 0.9300, 26.5775
1460076457.5630, 0.9332, 27.5808
1460076457.5860, 0.9357, 28.4373
1460076457.6080, 0.9364, 29.2567
1460076457.6340, 0.9338, 30.2234
1460076457.6620, 0.9250, 31.2600
1460076457.6900, 0.9083, 32.2891
1460076457.7180, 0.8823, 33.3076
1460076457.7450, 0.8471, 34.2769
1460076457.7670, 0.8105, 35.0553
1460076457.7810, 0.7833, 35.5446
1460076457.7940, 0.7552, 35.9944
1460076457.8070, 0.7245, 36.4393
1460076457.8190, 0.6937, 36.8455
1460076457.8380, 0.6402, 37.4792
1460076457.8580, 0.5777, 38.1327
1460076457.8780, 0.5089, 38.7714
1460076457.8980, 0.4342, 39.3941
1460076457.9180, 0.3541, 39.9997
1460076457.9380, 0.2690, 40.5875
1460076457.9570, 0.1842, 41.1283
1460076457.9770, 0.0917, 41.6782
1460076457.9880, 0.0398, 41.9720
1460076458.0070, -0.0511, 42.4643
1460076458.0290, -0.1568, 43.0097
1460076458.0480, -0.2469, 43.4589
1460076458.0590, -0.2980, 43.7095
1460076458.0790, -0.3876, 44.1470
1460076458.0980, -0.4672, 44.5404
1460076458.1090, -0.5099, 44.7583
1460076458.1200, -0.5498, 44.9687
1460076458.1300, -0.5832, 45.1536
1460076458.1410, -0.6162, 45.3499
1460076458.1520, -0.6450, 45.5386
1460076458.1720, -0.6848, 45.8625
1460076458.1920, -0.7057, 46.1614
1460076458.2110, -0.7049, 46.4223
1460076458.2300, -0.6808, 46.6608
1460076458.2410, -0.6549, 46.7887
1460076458.2590, -0.5918, 46.9820
1460076458.2780, -0.4942, 47.1647
1460076458.2970, -0.3615, 47.3259
1460076458.3080, -0.2673, 47.4095
1460076458.3280, -0.0605, 47.5436
1460076458.3470, 0.1813, 47.6502
1460076458.3580, 0.3429, 47.7027
1460076458.3770, 0.6616, 47.7783
1460076458.3880, 0.8700, 47.8134
1460076458.4080, 1.2960, 47.8614
1460076458.4270, 1.7595, 47.8890
1460076458.4380, 2.0550, 47.8972
1460076458.4570, 2.6136, 47.8984
1460076458.4770, 3.2693, 47.8829
1460076458.4970, 3.9956, 47.8511
1460076458.5170, 4.7932, 47.8040
1460076458.5370, 5.6620, 47.7428
1460076458.5570, 6.6012, 47.6683
1460076458.5680, 7.1470, 47.6222
1460076458.5790, 7.7132, 47.5726
1460076458.6000, 8.8485, 47.4689
1460076458.6200, 9.9928, 47.3602
1460076458.6300, 10.5865, 47.3025
1460076458.6410, 11.2550, 47.2367
1460076458.6610, 12.5091, 47.1114
1460076458.6810, 13.8070, 46.9795
1460076458.7010, 15.1412, 46.8421
1460076458.7210, 16.5035, 46.7002
1460076458.7410, 17.8849, 46.5548
1460076458.7610, 19.2758, 46.4066
1460076458.7720, 20.0414, 46.3242
1460076458.7920, 21.4274, 46.1736
1460076458.8120, 22.7972, 46.0223
1460076458.8320, 24.1404, 45.8712
1460076458.8520, 25.4468, 45.7209
1460076458.8720, 26.7067, 45.5720
1460076458.8830, 27.3763, 45.4909
1460076458.9030, 28.5455, 45.3453
1460076458.9230, 29.6454, 45.2025
1460076458.9430, 30.6686, 45.0628
1460076458.9620, 31.5637, 44.9334
1460076458.9810, 32.3790, 44.8074
1460076458.9920, 32.8132, 44.7361
1460076459.0110, 33.4956, 44.6159
1460076459.0310, 34.1198, 44.4936
1460076459.0500, 34.6224, 44.3815
1460076459.0690, 35.0370, 44.2734
1460076459.0880, 35.3649, 44.1693
1460076459.0990, 35.5158, 44.1109
1460076459.1190, 35.7193, 44.0080
1460076459.1390, 35.8351, 43.9095
1460076459.1600, 35.8681, 43.8105
1460076459.1800, 35.8213, 43.7203
1460076459.2000, 35.7054, 43.6338
1460076459.2110, 35.6148, 43.5877
1460076459.2310, 35.4064, 43.5065
1460076459.2510, 35.1487, 43.4283
1460076459.2710, 34.8500, 43.3528
1460076459.2930, 34.4839, 43.2725
1460076459.3150, 34.0893, 43.1947
1460076459.3360, 33.6958, 43.1221
1460076459.3560, 33.3141, 43.0541
1460076459.3670, 33.1039, 43.0171
1460076459.3780, 32.8950, 42.9803
1460076459.3980, 32.5220, 42.9135
1460076459.4170, 32.1803, 42.8499
1460076459.4280, 31.9901, 42.8129
1460076459.4410, 31.7737, 42.7689
