Time, Value0, Value 1, X, Y,
1460438487.7310, 30.3178, 20.3539, -0.8237, 0.5671, 
1460438487.7500, 29.9632, 20.7694, -0.8343, 0.5513, 
1460438487.7700, 29.5877, 21.2061, -0.8452, 0.5345, 
1460438487.7890, 29.2310, 21.6199, -0.8552, 0.5184, 
1460438487.8090, 28.8578, 22.0544, -0.8654, 0.5012, 
1460438487.8280, 28.5078, 22.4658, -0.8747, 0.4846, 
1460438487.8500, 28.1111, 22.9405, -0.8852, 0.4653, 
1460438487.8720, 27.7273, 23.4130, -0.8952, 0.4457, 
1460438487.8920, 27.3929, 23.8405, -0.9039, 0.4277, 
1460438487.9120, 27.0756, 24.2658, -0.9123, 0.4095, 
1460438487.9320, 26.7783, 24.6887, -0.9203, 0.3912, 
1460438487.9510, 26.5173, 25.0882, -0.9276, 0.3736, 
1460438487.9710, 26.2681, 25.5061, -0.9349, 0.3550, 
1460438487.9910, 26.0479, 25.9210, -0.9418, 0.3362, 
1460438488.0100, 25.8683, 26.3125, -0.9480, 0.3183, 
1460438488.0300, 25.7130, 26.7214, -0.9542, 0.2993, 
1460438488.0500, 25.5946, 27.1269, -0.9600, 0.2801, 
1460438488.0700, 25.5152, 27.5289, -0.9654, 0.2609, 
1460438488.0900, 25.4767, 27.9273, -0.9704, 0.2415, 
1460438488.1110, 25.4817, 28.3414, -0.9753, 0.2211, 
1460438488.1310, 25.5307, 28.7318, -0.9795, 0.2015, 
1460438488.1510, 25.6230, 29.1181, -0.9833, 0.1819, 
1460438488.1720, 25.7662, 29.5191, -0.9869, 0.1612, 
1460438488.1920, 25.9456, 29.8966, -0.9899, 0.1415, 
1460438488.2120, 26.1653, 30.2696, -0.9926, 0.1216, 
1460438488.2350, 26.4646, 30.6929, -0.9951, 0.0988, 
1460438488.2550, 26.7615, 31.0560, -0.9969, 0.0788, 
1460438488.2740, 27.0713, 31.3965, -0.9982, 0.0599, 
1460438488.2930, 27.4040, 31.7326, -0.9992, 0.0409, 
1460438488.3120, 27.7548, 32.0644, -0.9998, 0.0219, 
1460438488.3330, 28.1571, 32.4258, -1.0000, 0.0009, 
1460438488.3520, 28.5278, 32.7481, -0.9998, -0.0181, 
1460438488.3730, 28.9372, 33.0991, -0.9992, -0.0391, 
1460438488.3930, 29.3185, 33.4281, -0.9983, -0.0590, 
1460438488.4120, 29.6654, 33.7360, -0.9970, -0.0780, 
1460438488.4320, 30.0061, 34.0552, -0.9952, -0.0979, 
1460438488.4510, 30.2988, 34.3538, -0.9932, -0.1168, 
1460438488.4700, 30.5537, 34.6479, -0.9908, -0.1357, 
1460438488.4920, 30.7922, 34.9827, -0.9875, -0.1574, 
1460438488.5110, 30.9411, 35.2671, -0.9844, -0.1761, 
1460438488.5300, 31.0302, 35.5472, -0.9808, -0.1948, 
1460438488.5510, 31.0518, 35.8517, -0.9765, -0.2154, 
1460438488.5700, 30.9958, 36.1228, -0.9723, -0.2339, 
1460438488.5900, 30.8540, 36.4036, -0.9674, -0.2533, 
1460438488.6100, 30.6228, 36.6801, -0.9621, -0.2726, 
1460438488.6290, 30.3173, 36.9387, -0.9568, -0.2908, 
1460438488.6490, 29.9031, 37.2069, -0.9508, -0.3099, 
1460438488.6690, 29.3932, 37.4711, -0.9444, -0.3288, 
1460438488.6890, 28.7878, 37.7315, -0.9376, -0.3477, 
1460438488.7100, 28.0512, 38.0010, -0.9301, -0.3673, 
1460438488.7300, 27.2565, 38.2542, -0.9226, -0.3858, 
1460438488.7510, 26.3291, 38.5167, -0.9143, -0.4051, 
1460438488.7710, 25.3629, 38.7636, -0.9060, -0.4233, 
1460438488.7910, 24.3224, 39.0079, -0.8973, -0.4413, 
1460438488.8100, 23.2719, 39.2377, -0.8888, -0.4583, 
1460438488.8290, 22.1681, 39.4656, -0.8799, -0.4751, 
1460438488.8500, 20.8955, 39.7154, -0.8698, -0.4935, 
1460438488.8690, 19.7051, 39.9399, -0.8602, -0.5099, 
1460438488.8900, 18.3571, 40.1867, -0.8493, -0.5279, 
1460438488.9100, 17.0519, 40.4207, -0.8386, -0.5447, 
1460438488.9300, 15.7360, 40.6539, -0.8275, -0.5614, 
1460438488.9500, 14.4195, 40.8868, -0.8162, -0.5778, 
1460438488.9700, 13.1118, 41.1195, -0.8044, -0.5940, 
1460438488.9930, 11.6310, 41.3875, -0.7906, -0.6124, 
1460438489.0140, 10.3111, 41.6327, -0.7775, -0.6288, 
1460438489.0330, 9.1512, 41.8554, -0.7654, -0.6435, 
1460438489.0530, 7.9723, 42.0909, -0.7524, -0.6587, 
1460438489.0730, 6.8430, 42.3279, -0.7391, -0.6736, 
1460438489.0920, 5.8209, 42.5545, -0.7262, -0.6875, 
1460438489.1120, 4.8029, 42.7950, -0.7123, -0.7019, 
1460438489.1320, 3.8478, 43.0376, -0.6981, -0.7160, 
1460438489.1520, 2.9584, 43.2825, -0.6836, -0.7298, 
1460438489.1710, 2.1761, 43.5176, -0.6696, -0.7427, 
1460438489.1910, 1.4196, 43.7677, -0.6547, -0.7559, 
1460438489.2110, 0.7321, 44.0207, -0.6394, -0.7689, 
1460438489.2310, 0.1130, 44.2767, -0.6239, -0.7815, 
1460438489.2510, -0.4387, 44.5357, -0.6081, -0.7938, 
1460438489.2710, -0.9246, 44.7978, -0.5922, -0.8058, 
1460438489.2910, -1.3472, 45.0630, -0.5759, -0.8175, 
1460438489.3110, -1.7090, 45.3312, -0.5595, -0.8289, 
1460438489.3320, -2.0267, 45.6161, -0.5419, -0.8404, 
1460438489.3520, -2.2738, 45.8903, -0.5250, -0.8511, 
1460438489.3790, -2.5276, 46.2647, -0.5018, -0.8650, 
1460438489.4010, -2.6724, 46.5730, -0.4827, -0.8758, 
1460438489.4220, -2.7638, 46.8696, -0.4642, -0.8857, 
1460438489.4410, -2.8108, 47.1395, -0.4473, -0.8944, 
1460438489.4610, -2.8272, 47.4249, -0.4293, -0.9032, 
1460438489.4810, -2.8134, 47.7110, -0.4112, -0.9116, 
1460438489.5010, -2.7728, 47.9975, -0.3928, -0.9196, 
1460438489.5210, -2.7089, 48.2837, -0.3744, -0.9273, 
1460438489.5410, -2.6249, 48.5690, -0.3558, -0.9346, 
1460438489.5610, -2.5237, 48.8528, -0.3370, -0.9415, 
1460438489.5830, -2.3960, 49.1623, -0.3162, -0.9487, 
1460438489.6030, -2.2677, 49.4404, -0.2972, -0.9548, 
1460438489.6230, -2.1303, 49.7146, -0.2780, -0.9606, 
1460438489.6430, -1.9859, 49.9839, -0.2587, -0.9659, 
1460438489.6620, -1.8440, 50.2345, -0.2403, -0.9707, 
1460438489.6820, -1.6913, 50.4917, -0.2209, -0.9753, 
1460438489.7020, -1.5367, 50.7414, -0.2013, -0.9795, 
1460438489.7220, -1.3815, 50.9824, -0.1817, -0.9834, 
1460438489.7420, -1.2269, 51.2138, -0.1620, -0.9868, 
1460438489.7690, -1.0206, 51.5091, -0.1353, -0.9908, 
1460438489.7930, -0.8412, 51.7530, -0.1115, -0.9938, 
1460438489.8240, -0.6165, 52.0391, -0.0806, -0.9967, 
1460438489.8450, -0.4695, 52.2126, -0.0597, -0.9982, 
1460438489.8660, -0.3271, 52.3682, -0.0387, -0.9993, 
1460438489.8860, -0.1958, 52.4986, -0.0187, -0.9998, 
1460438489.9070, -0.0625, 52.6158, 0.0023, -1.0000, 
1460438489.9270, 0.0602, 52.7076, 0.0223, -0.9998, 
1460438489.9470, 0.1790, 52.7790, 0.0423, -0.9991, 
1460438489.9670, 0.2942, 52.8291, 0.0622, -0.9981, 
1460438489.9880, 0.4116, 52.8579, 0.0832, -0.9965, 
1460438490.0080, 0.5207, 52.8619, 0.1031, -0.9947, 
1460438490.0280, 0.6276, 52.8421, 0.1230, -0.9924, 
1460438490.0490, 0.7382, 52.7950, 0.1438, -0.9896, 
1460438490.0690, 0.8427, 52.7245, 0.1635, -0.9865, 
1460438490.0890, 0.9471, 52.6284, 0.1832, -0.9831, 
1460438490.1090, 1.0523, 52.5063, 0.2029, -0.9792, 
1460438490.1290, 1.1592, 52.3577, 0.2224, -0.9750, 
1460438490.1500, 1.2742, 52.1730, 0.2428, -0.9701, 
1460438490.1700, 1.3875, 51.9695, 0.2622, -0.9650, 
1460438490.1910, 1.5114, 51.7268, 0.2824, -0.9593, 
1460438490.2120, 1.6416, 51.4542, 0.3025, -0.9532, 
1460438490.2350, 1.7930, 51.1216, 0.3243, -0.9460, 
1460438490.2570, 1.9479, 50.7703, 0.3450, -0.9386, 
1460438490.2830, 2.1456, 50.3139, 0.3693, -0.9293, 
1460438490.3040, 2.3185, 49.9133, 0.3888, -0.9213, 
1460438490.3240, 2.4952, 49.5056, 0.4071, -0.9134, 
1460438490.3450, 2.6947, 49.0507, 0.4262, -0.9046, 
1460438490.3660, 2.9095, 48.5692, 0.4451, -0.8955, 
1460438490.3870, 3.1407, 48.0618, 0.4638, -0.8859, 
1460438490.4100, 3.4139, 47.4775, 0.4840, -0.8750, 
1460438490.4300, 3.6693, 46.9461, 0.5015, -0.8652, 
1460438490.4510, 3.9561, 46.3659, 0.5195, -0.8545, 
1460438490.4710, 4.2476, 45.7932, 0.5365, -0.8439, 
1460438490.4920, 4.5734, 45.1718, 0.5541, -0.8325, 
1460438490.5120, 4.9028, 44.5621, 0.5706, -0.8212, 
1460438490.5320, 5.2511, 43.9360, 0.5869, -0.8096, 
1460438490.5530, 5.6373, 43.2622, 0.6038, -0.7971, 
1460438490.5730, 6.0244, 42.6060, 0.6196, -0.7849, 
1460438490.5940, 6.4510, 41.9033, 0.6360, -0.7717, 
1460438490.6150, 6.8978, 41.1878, 0.6520, -0.7582, 
1460438490.6350, 7.3416, 40.4957, 0.6671, -0.7450, 
1460438490.6560, 7.8262, 39.7592, 0.6826, -0.7308, 
1460438490.6770, 8.3290, 39.0140, 0.6978, -0.7163, 
1460438490.6980, 8.8490, 38.2613, 0.7127, -0.7015, 
1460438490.7220, 9.4629, 37.3939, 0.7293, -0.6842, 
1460438490.7440, 10.0424, 36.5934, 0.7442, -0.6680, 
1460438490.7670, 10.6638, 35.7527, 0.7593, -0.6507, 
1460438490.7890, 11.2713, 34.9464, 0.7735, -0.6339, 
1460438490.8120, 11.9181, 34.1026, 0.7878, -0.6159, 
1460438490.8360, 12.6034, 33.2228, 0.8024, -0.5968, 
1460438490.8580, 13.2390, 32.4182, 0.8153, -0.5790, 
1460438490.8800, 13.8796, 31.6166, 0.8279, -0.5609, 
1460438490.9020, 14.5232, 30.8191, 0.8400, -0.5426, 
1460438490.9230, 15.1385, 30.0625, 0.8512, -0.5248, 
1460438490.9440, 15.7531, 29.3113, 0.8620, -0.5068, 
1460438490.9650, 16.3653, 28.5663, 0.8725, -0.4886, 
1460438490.9860, 16.9735, 27.8281, 0.8826, -0.4702, 
1460438491.0080, 17.6045, 27.0627, 0.8927, -0.4507, 
1460438491.0300, 18.2277, 26.3060, 0.9024, -0.4309, 
1460438491.0510, 18.8136, 25.5925, 0.9112, -0.4119, 
1460438491.0710, 19.3622, 24.9213, 0.9193, -0.3936, 
1460438491.0910, 19.9006, 24.2585, 0.9270, -0.3751, 
1460438491.1110, 20.4277, 23.6043, 0.9343, -0.3565, 
1460438491.1310, 20.9427, 22.9591, 0.9412, -0.3377, 
1460438491.1530, 21.4940, 22.2600, 0.9484, -0.3170, 
1460438491.1750, 22.0286, 21.5720, 0.9552, -0.2960, 
1460438491.1980, 22.5686, 20.8650, 0.9617, -0.2740, 
1460438491.2200, 23.0665, 20.2004, 0.9675, -0.2527, 
1460438491.2440, 23.5882, 19.4886, 0.9733, -0.2295, 
1460438491.2680, 24.0872, 18.7904, 0.9785, -0.2060, 
1460438491.2900, 24.5246, 18.1624, 0.9828, -0.1845, 
1460438491.3110, 24.9243, 17.5736, 0.9865, -0.1638, 
1460438491.3320, 25.3070, 16.9951, 0.9897, -0.1430, 
1460438491.3530, 25.6731, 16.4268, 0.9925, -0.1222, 
1460438491.3750, 26.0397, 15.8422, 0.9950, -0.1004, 
1460438491.3970, 26.3901, 15.2684, 0.9969, -0.0784, 
1460438491.4210, 26.7552, 14.6545, 0.9985, -0.0545, 
1460438491.4450, 27.1048, 14.0531, 0.9995, -0.0305, 
1460438491.4690, 27.4412, 13.4638, 1.0000, -0.0065, 
1460438491.4920, 27.7541, 12.9102, 0.9999, 0.0165, 
1460438491.5160, 28.0740, 12.3438, 0.9992, 0.0405, 
1460438491.5390, 28.3776, 11.8116, 0.9980, 0.0634, 
1460438491.5630, 28.6955, 11.2670, 0.9962, 0.0874, 
1460438491.5860, 29.0055, 10.7550, 0.9939, 0.1103, 
1460438491.6080, 29.3109, 10.2743, 0.9912, 0.1321, 
1460438491.6290, 29.6144, 9.8233, 0.9882, 0.1529, 
1460438491.6500, 29.9334, 9.3800, 0.9848, 0.1736, 
1460438491.6730, 30.3049, 8.9029, 0.9806, 0.1962, 
1460438491.7000, 30.7774, 8.3538, 0.9749, 0.2226, 
1460438491.7240, 31.2367, 7.8756, 0.9693, 0.2459, 
1460438491.7460, 31.6953, 7.4450, 0.9636, 0.2672, 
1460438491.7700, 32.2415, 6.9837, 0.9570, 0.2902, 
1460438491.7940, 32.8406, 6.5311, 0.9497, 0.3131, 
1460438491.8170, 33.4682, 6.1052, 0.9423, 0.3349, 
1460438491.8400, 34.1516, 5.6870, 0.9343, 0.3565, 
1460438491.8610, 34.8262, 5.3117, 0.9266, 0.3760, 
1460438491.8830, 35.5860, 4.9252, 0.9181, 0.3963, 
1460438491.9050, 36.4007, 4.5454, 0.9092, 0.4164, 
1460438491.9280, 37.3104, 4.1555, 0.8994, 0.4372, 
1460438491.9510, 38.2773, 3.7729, 0.8891, 0.4578, 
1460438491.9730, 39.2528, 3.4137, 0.8788, 0.4772, 
1460438491.9960, 40.3208, 3.0452, 0.8676, 0.4973, 
1460438492.0180, 41.3829, 2.6995, 0.8564, 0.5163, 
1460438492.0410, 42.5282, 2.3451, 0.8443, 0.5358, 
1460438492.0640, 43.7002, 1.9980, 0.8318, 0.5551, 
1460438492.0870, 44.8884, 1.6581, 0.8188, 0.5741, 
1460438492.1090, 46.0294, 1.3399, 0.8060, 0.5920, 
1460438492.1330, 47.2657, 1.0004, 0.7915, 0.6111, 
1460438492.1560, 48.4283, 0.6827, 0.7773, 0.6292, 
1460438492.1790, 49.5549, 0.3725, 0.7626, 0.6469, 
1460438492.2020, 50.6307, 0.0699, 0.7475, 0.6642, 
1460438492.2250, 51.6412, -0.2250, 0.7320, 0.6813, 
1460438492.2500, 52.6489, -0.5368, 0.7148, 0.6993, 
1460438492.2760, 53.5785, -0.8511, 0.6964, 0.7177, 
1460438492.3020, 54.3694, -1.1551, 0.6775, 0.7356, 
1460438492.3280, 55.0056, -1.4488, 0.6581, 0.7529, 
1460438492.3530, 55.4593, -1.7211, 0.6391, 0.7691, 
1460438492.3820, 55.7792, -2.0246, 0.6165, 0.7873, 
1460438492.4070, 55.8705, -2.2753, 0.5966, 0.8025, 
1460438492.4300, 55.8012, -2.4969, 0.5780, 0.8160, 
1460438492.4560, 55.5464, -2.7367, 0.5566, 0.8308, 
1460438492.4800, 55.1485, -2.9480, 0.5365, 0.8439, 
1460438492.5040, 54.6005, -3.1494, 0.5161, 0.8565, 
1460438492.5260, 53.9733, -3.3251, 0.4972, 0.8677, 
1460438492.5470, 53.2710, -3.4850, 0.4788, 0.8779, 
1460438492.5680, 52.4755, -3.6370, 0.4603, 0.8878, 
1460438492.5910, 51.5082, -3.7944, 0.4397, 0.8981, 
1460438492.6130, 50.5006, -3.9359, 0.4199, 0.9076, 
1460438492.6360, 49.3743, -4.0744, 0.3989, 0.9170, 
1460438492.6600, 48.1346, -4.2085, 0.3768, 0.9263, 
1460438492.6830, 46.8997, -4.3268, 0.3554, 0.9347, 
1460438492.7070, 45.5776, -4.4397, 0.3328, 0.9430, 
1460438492.7300, 44.2926, -4.5376, 0.3111, 0.9504, 
1460438492.7540, 42.9470, -4.6290, 0.2882, 0.9576, 
1460438492.7760, 41.7208, -4.7030, 0.2670, 0.9637, 
1460438492.7970, 40.5658, -4.7649, 0.2467, 0.9691, 
1460438492.8180, 39.4332, -4.8182, 0.2263, 0.9740, 
1460438492.8400, 38.2779, -4.8648, 0.2049, 0.9788, 
1460438492.8610, 37.2103, -4.9004, 0.1843, 0.9829, 
1460438492.8820, 36.1816, -4.9274, 0.1636, 0.9865, 
1460438492.9040, 35.1494, -4.9464, 0.1418, 0.9899, 
1460438492.9260, 34.1664, -4.9557, 0.1200, 0.9928, 
1460438492.9470, 33.2756, -4.9558, 0.0992, 0.9951, 
1460438492.9690, 32.3929, -4.9465, 0.0772, 0.9970, 
1460438492.9910, 31.5617, -4.9276, 0.0553, 0.9985, 
1460438493.0120, 30.8152, -4.9006, 0.0343, 0.9994, 
1460438493.0340, 30.0809, -4.8630, 0.0123, 0.9999, 
1460438493.0620, 29.2130, -4.8013, -0.0157, 0.9999, 
1460438493.0870, 28.4967, -4.7331, -0.0407, 0.9992, 
1460438493.1100, 27.8820, -4.6595, -0.0636, 0.9980, 
1460438493.1310, 27.3543, -4.5833, -0.0846, 0.9964, 
1460438493.1530, 26.8319, -4.4941, -0.1065, 0.9943, 
